[2025-12-07 00:42:42] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:42:43] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:42:44] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:42:45] DEBUG_KEY_SIMULATED | VK=38
[2025-12-07 00:42:46] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:42:46] DESCRIPTION_WAIT_START | Displaying description box
[2025-12-07 00:42:49] DESCRIPTION_WAIT_END | User pressed key to close description
[2025-12-07 00:42:50] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:42:51] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:42:52] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:43:14] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:43:17] INTERACTIVE_WAIT_END | Key received: VK=81
[2025-12-07 00:43:29] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:43:35] INTERACTIVE_WAIT_END | Key received: VK=81
[2025-12-07 00:43:45] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:43:46] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:43:47] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:43:48] DEBUG_KEY_SIMULATED | VK=38
[2025-12-07 00:43:49] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:43:49] DESCRIPTION_WAIT_START | Displaying description box
[2025-12-07 00:43:49] DESCRIPTION_WAIT_END | User pressed key to close description
[2025-12-07 00:43:50] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:43:51] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:43:52] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:43:53] DEBUG_KEY_SIMULATED | VK=8
[2025-12-07 00:43:54] DEBUG_KEY_SIMULATED | VK=40
[2025-12-07 00:43:54] DEBUG_KEY_SIMULATED | VK=13
[2025-12-07 00:43:54] DEBUG_KEY_SIMULATED | VK=81
[2025-12-07 00:44:29] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:29] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:29] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:30] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:30] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:30] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:30] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:31] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:31] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:31] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:31] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:34] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:34] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:35] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:35] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:35] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:35] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:35] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:35] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:36] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:36] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:36] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:40] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:40] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:40] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:40] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:42] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:44:42] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:43] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:43] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:44] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:44:44] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:44] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:44] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:45] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:44:45] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:46] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:46] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:46] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:46] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:50] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:50] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:50] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:50] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:50] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:50] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:52] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:44:52] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:52] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:44:52] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:53] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:53] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:53] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:53] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:54] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:44:54] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:54] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:44:54] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:55] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:55] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:55] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:55] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:56] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:44:56] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:56] INTERACTIVE_WAIT_END | Key received: VK=38
[2025-12-07 00:44:56] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:57] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:57] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:57] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:57] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:58] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:58] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:58] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:58] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:58] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:58] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:58] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:58] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:59] INTERACTIVE_WAIT_END | Key received: VK=123
[2025-12-07 00:44:59] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:59] INTERACTIVE_WAIT_END | Key received: VK=67
[2025-12-07 00:44:59] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:44:59] INTERACTIVE_WAIT_END | Key received: VK=13
[2025-12-07 00:45:05] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:05] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:05] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:06] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:06] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:06] INTERACTIVE_WAIT_END | Key received: VK=40
[2025-12-07 00:45:06] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:07] INTERACTIVE_WAIT_END | Key received: VK=16
[2025-12-07 00:45:07] INTERACTIVE_WAIT_START | Waiting for arrow key input
[2025-12-07 00:45:07] INTERACTIVE_WAIT_END | Key received: VK=40
