[2025-12-08 20:55:23] INPUT_ACTION | Down
[2025-12-08 20:55:23] INPUT_ACTION | Enter
[2025-12-08 20:55:25] INPUT_ACTION | Enter
[2025-12-08 20:55:27] INPUT_ACTION | Enter
[2025-12-08 20:55:27] INPUT_ACTION | Down
[2025-12-08 20:55:28] INPUT_ACTION | Enter
[2025-12-08 20:55:28] INPUT_ACTION | Escape
[2025-12-08 20:55:29] INPUT_ACTION | Escape
[2025-12-08 20:55:29] INPUT_ACTION | Up
[2025-12-08 20:55:30] INPUT_ACTION | Enter
[2025-12-08 20:55:31] INPUT_ACTION | Escape
[2025-12-08 20:55:32] INPUT_ACTION | Enter
[2025-12-08 20:55:33] INPUT_ACTION | Down
[2025-12-08 20:55:34] INPUT_ACTION | Enter
[2025-12-08 20:55:35] INPUT_ACTION | Up
[2025-12-08 20:55:35] INPUT_ACTION | Up
[2025-12-08 20:55:35] INPUT_ACTION | Up
[2025-12-08 20:55:35] INPUT_ACTION | Up
[2025-12-08 20:55:36] INPUT_ACTION | Up
[2025-12-08 20:55:37] INPUT_ACTION | Enter
[2025-12-08 20:55:37] INPUT_ACTION | Escape
[2025-12-08 20:55:38] INPUT_ACTION | Down
[2025-12-08 20:55:38] INPUT_ACTION | Enter
[2025-12-08 20:55:39] INPUT_ACTION | Escape
[2025-12-08 20:55:40] INPUT_ACTION | Down
[2025-12-08 20:55:40] INPUT_ACTION | Down
[2025-12-08 20:55:40] INPUT_ACTION | Enter
[2025-12-08 20:55:41] INPUT_ACTION | Up
[2025-12-08 20:55:42] INPUT_ACTION | Enter
[2025-12-08 20:55:43] INPUT_ACTION | Escape
[2025-12-08 20:55:45] INPUT_ACTION | Enter
[2025-12-08 20:55:46] INPUT_ACTION | Up
[2025-12-08 20:55:46] INPUT_ACTION | Up
[2025-12-08 20:55:47] INPUT_ACTION | Enter
[2025-12-08 20:55:48] INPUT_ACTION | Escape
[2025-12-08 20:55:48] INPUT_ACTION | Up
[2025-12-08 20:55:50] INPUT_ACTION | Enter
[2025-12-08 20:55:51] INPUT_ACTION | Escape
[2025-12-08 20:55:52] INPUT_ACTION | Down
[2025-12-08 20:55:52] INPUT_ACTION | Enter
[2025-12-08 20:55:53] INPUT_ACTION | Enter
[2025-12-08 20:55:55] INPUT_ACTION | Enter
[2025-12-08 20:55:55] INPUT_ACTION | Down
[2025-12-08 20:55:56] INPUT_ACTION | Enter
[2025-12-08 20:55:56] INPUT_ACTION | Down
[2025-12-08 20:55:57] INPUT_ACTION | Escape
[2025-12-08 20:55:57] INPUT_ACTION | Escape
[2025-12-08 20:55:58] INPUT_ACTION | Enter
[2025-12-08 20:55:59] INPUT_ACTION | Up
[2025-12-08 20:56:00] INPUT_ACTION | Up
[2025-12-08 20:56:00] INPUT_ACTION | Up
[2025-12-08 20:56:00] INPUT_ACTION | Up
[2025-12-08 20:56:01] INPUT_ACTION | Up
[2025-12-08 20:56:02] INPUT_ACTION | Down
[2025-12-08 20:56:04] INPUT_ACTION | Up
[2025-12-08 20:56:04] INPUT_ACTION | Up
[2025-12-08 20:56:05] INPUT_ACTION | Up
[2025-12-08 20:56:05] INPUT_ACTION | Up
[2025-12-08 20:56:06] INPUT_ACTION | Enter
[2025-12-08 20:56:07] INPUT_ACTION | Up
[2025-12-08 20:56:08] INPUT_ACTION | Enter
[2025-12-08 20:56:08] INPUT_ACTION | Up
[2025-12-08 20:56:08] INPUT_ACTION | Escape
[2025-12-08 20:56:09] INPUT_ACTION | Up
[2025-12-08 20:56:10] INPUT_ACTION | Enter
[2025-12-08 20:56:11] INPUT_ACTION | Enter
[2025-12-08 20:56:12] INPUT_ACTION | Down
[2025-12-08 20:56:13] INPUT_ACTION | Enter
[2025-12-08 20:56:13] INPUT_ACTION | Up
[2025-12-08 20:56:13] INPUT_ACTION | Up
[2025-12-08 20:56:15] INPUT_ACTION | Enter
[2025-12-08 20:56:15] INPUT_ACTION | Up
[2025-12-08 20:56:16] INPUT_ACTION | Enter
[2025-12-08 20:56:16] INPUT_ACTION | Escape
[2025-12-08 20:56:17] INPUT_ACTION | Up
[2025-12-08 20:56:18] INPUT_ACTION | Enter
[2025-12-08 20:56:18] INPUT_ACTION | Down
[2025-12-08 20:56:18] INPUT_ACTION | Enter
[2025-12-08 20:56:19] INPUT_ACTION | Up
[2025-12-08 20:56:19] INPUT_ACTION | Escape
[2025-12-08 20:56:20] INPUT_ACTION | Down
