[2025-12-11 11:21:10] INPUT_ACTION | Char
[2025-12-11 11:21:14] INPUT_ACTION | Enter
[2025-12-11 11:21:19] INPUT_ACTION | Q
[2025-12-11 11:21:42] INPUT_ACTION | Q
[2025-12-11 11:44:36] INPUT_ACTION | Down
[2025-12-11 11:44:37] INPUT_ACTION | Q
[2025-12-11 11:48:59] INPUT_ACTION | Down
[2025-12-11 11:48:59] INPUT_ACTION | Up
[2025-12-11 11:49:00] INPUT_ACTION | Enter
[2025-12-11 11:49:01] INPUT_ACTION | Down
[2025-12-11 11:49:02] INPUT_ACTION | Enter
[2025-12-11 11:49:02] INPUT_ACTION | Q
[2025-12-11 11:49:50] INPUT_ACTION | Enter
[2025-12-11 11:49:50] INPUT_ACTION | Down
[2025-12-11 11:49:56] INPUT_ACTION | Down
[2025-12-11 11:49:58] INPUT_ACTION | Down
[2025-12-11 11:49:58] INPUT_ACTION | Down
[2025-12-11 11:50:13] INPUT_ACTION | Enter
[2025-12-11 11:50:17] INPUT_ACTION | Enter
[2025-12-11 11:50:17] INPUT_ACTION | Up
[2025-12-11 11:50:20] INPUT_ACTION | Down
[2025-12-11 11:50:20] INPUT_ACTION | Down
[2025-12-11 11:50:28] INPUT_ACTION | Enter
[2025-12-11 11:50:42] INPUT_ACTION | Enter
[2025-12-11 11:50:51] INPUT_ACTION | Enter
[2025-12-11 11:50:53] INPUT_ACTION | Q
[2025-12-12 21:34:10] INPUT_ACTION | Enter
[2025-12-12 21:34:10] INPUT_ACTION | Q
[2025-12-12 21:34:14] INPUT_ACTION | Enter
[2025-12-12 21:34:14] INPUT_ACTION | Q
[2025-12-12 21:35:49] INPUT_ACTION | Enter
[2025-12-12 21:35:49] INPUT_ACTION | Q
[2025-12-12 21:37:23] INPUT_ACTION | Enter
[2025-12-12 21:37:46] INPUT_ACTION | Enter
[2025-12-12 21:38:06] INPUT_ACTION | Enter
[2025-12-12 21:38:28] INPUT_ACTION | Enter
